仮タイトル：日本人全員、国が食わせたらどうなると（以下略）その５　医療とは何かに踏み込む回　要約まとめ

 ■日本人全員、国が食わせたらどうなると（以下略）その５　全3話で話したことを要約してまとめています～

## 【新ベーシックインカム論】シリーズ 追加ログ：医療費負担の本丸編（パート5）

**位置づけ**：パート4で確認した「医療・介護に人口の1割超が動員されている」構造を踏まえ、今度は「誰がどれだけ負担しているか」「その負担構造がどんな行動を誘発するか」を、高齢者・生活保護・現役世代・医療従事者と、立場を変えながら数字で検証していった回。最終的に「国家財政のリボ払い構造」という一言に集約される。

## ①高額療養費制度の実態検証（1000点・5000点・10万点モデル）

架空の70代患者（3医療機関に通院、月1,000点・5,000点・10万点）で試算：

- 素の医療費：月106万円（年1,272万円）

- 窓口負担（1割）：月10.6万円

- 高額療養費適用後の実質自己負担：**月5.7万円前後**（一般所得区分の上限額）

- 月106万円分の医療を受けても自己負担は頭打ち。「1割負担×高額療養費＝無敵」という体感は、制度としてはほぼ正確な表現だったと確認

## ②ただし「年金6.6万円層」には払えない

- 高齢者世帯の稼働所得（月6.6万円）＝生活費全体という前提で試算

- 介護保険料・後期高齢者医療保険料の天引き後、手取りは月5〜6万円程度

- そこに月5.7万円前後の自己負担は物理的に不可能

- 「制度としては無敵」と「本人が払えるか」は別問題、というのがこのパートの起点

## ③生活保護に切り替えた場合の逆転現象

- 生活保護受給者は国民健康保険・後期高齢者医療制度が適用除外となり、医療費は原則医療扶助で全額給付（自己負担ゼロ、上限すらなく現物給付）

- 生活扶助（現金）は月13万円前後

- 資産を使い切って保護に転じた場合の可処分所得の変化：
　- 転換前：年金6.6万円 − 医療費自己負担5.8万円 ＝ 月約8千円
　- 転換後：生活扶助13万円 − 医療費0円 ＝ 月13万円（実質16倍）

- 「資産を守って自助努力してきた層ほど損をする」という逆転構造が数字で確認された

## ④15年間の国庫負担シミュレーション（70〜85歳）

70歳で保護開始、80歳から訪問診療・訪問看護中心に切り替わる前提で試算：

- フェーズ1（70〜79歳、通院）：月106万円×12ヶ月×10年＝約1億2,720万円（医療扶助）

- フェーズ2（80〜85歳、訪問診療・看護、月30万円想定）：約1,800万円

- 医療扶助合計：約1億4,520万円

- 生活扶助合計（月13万円×15年）：約2,340万円

- **通算：約1億6,860万円（うち医療が約86%）**

